time,open,high,low,close,PlotCandle (Ouverture),PlotCandle (Haut,PlotCandle (Bas),PlotCandle (Fermer),Volume
1763627400,143.443,143.653,143.2,143.453,NaN,143.653,143.2,143.453,15367.1
1763628300,143.453,143.634,143.125,143.301,NaN,143.634,143.125,143.301,9383.3
1763629200,143.301,143.317,142.767,142.808,NaN,143.317,142.767,142.808,31811.9
1763630100,142.808,142.901,141.834,142.062,NaN,142.901,141.834,142.062,127987.8
1763631000,142.062,142.395,141.834,141.851,NaN,142.395,141.834,141.851,30633.8
1763631900,141.851,142.034,141.3,141.981,NaN,142.034,141.3,141.981,89446
1763632800,141.981,142.172,141,141.305,NaN,142.172,141,141.305,40903.8
1763633700,141.305,142.152,141.156,141.997,NaN,142.152,141.156,141.997,36132.2
1763634600,141.997,142.22,141.563,141.798,NaN,142.22,141.563,141.798,26396.3
1763635500,141.798,142.293,141.722,142.213,NaN,142.293,141.722,142.213,11925.3
1763636400,142.213,142.468,141.993,142.068,NaN,142.468,141.993,142.068,12970.4
1763637300,142.068,142.209,141.653,141.706,NaN,142.209,141.653,141.706,20468
1763638200,141.706,142.089,141.46,141.968,NaN,142.089,141.46,141.968,19604.7
1763639100,141.968,142.21,141.773,142.085,NaN,142.21,141.773,142.085,17962.1
1763640000,142.085,142.192,141.441,141.485,NaN,142.192,141.441,141.485,15715.3
1763640900,141.485,142.054,141.414,141.786,NaN,142.054,141.414,141.786,15194.6
1763641800,141.786,142.332,141.327,141.459,NaN,142.332,141.327,141.459,29025.9
1763642700,141.459,142.213,141.388,141.979,NaN,142.213,141.388,141.979,25675.9
1763643600,141.979,142.364,141.646,142.343,NaN,142.364,141.646,142.343,17649.7
1763644500,142.343,142.358,141.354,141.811,NaN,142.358,141.354,141.811,37236.8
1763645400,141.811,143.386,141.121,141.157,NaN,143.386,141.121,141.157,223449.4
1763646300,141.157,141.894,140.457,140.672,NaN,141.894,140.457,140.672,94763.2
1763647200,140.672,140.682,138.871,139.228,NaN,140.682,138.871,139.228,175792.7
1763648100,139.228,141.089,138.975,140.965,NaN,141.089,138.975,140.965,99370.5
1763649000,140.965,141.496,139.868,140.477,NaN,141.496,139.868,140.477,68544.9
1763649900,140.477,141.186,139.959,140.875,NaN,141.186,139.959,140.875,38736.6
1763650800,140.875,141.036,139.182,139.504,NaN,141.036,139.182,139.504,70157.6
1763651700,139.504,140.347,138.629,140.159,NaN,140.347,138.629,140.159,50208
1763652600,140.159,140.381,139.359,140.145,NaN,140.381,139.359,140.145,30775.3
1763653500,140.145,140.166,138.224,138.484,NaN,140.166,138.224,138.484,72690.6
1763654400,138.484,138.687,133.51,134.1,NaN,138.687,133.51,134.1,512565
1763655300,134.1,134.579,132.389,133.273,NaN,134.579,132.389,133.273,343666.5
1763656200,133.273,133.682,131.923,132.012,NaN,133.682,131.923,132.012,130371
1763657100,132.012,132.596,131.455,132.585,NaN,132.596,131.455,132.585,146794.9
1763658000,132.585,132.979,131.048,131.876,NaN,132.979,131.048,131.876,186389.4
1763658900,131.876,132.455,131.072,131.979,NaN,132.455,131.072,131.979,86208.6
1763659800,131.979,133.072,131.564,132.192,NaN,133.072,131.564,132.192,91152.4
1763660700,132.192,132.845,131.719,132.747,NaN,132.845,131.719,132.747,79151.8
1763661600,132.747,134.387,131.938,134.283,NaN,134.387,131.938,134.283,97531.9
1763662500,134.283,134.553,133.267,133.428,NaN,134.553,133.267,133.428,113612.2
1763663400,133.428,133.998,132.746,132.761,NaN,133.998,132.746,132.761,62035.2
1763664300,132.761,133.1,132.342,132.515,NaN,133.1,132.342,132.515,63397.3
1763665200,132.515,132.648,131.578,132.156,NaN,132.648,131.578,132.156,118463.8
1763666100,132.156,133.696,131.827,133.274,NaN,133.696,131.827,133.274,69640.8
1763667000,133.274,133.274,132.375,132.767,NaN,133.274,132.375,132.767,53311.4
1763667900,132.767,134.448,132.712,133.87,NaN,134.448,132.712,133.87,99340.3
1763668800,133.87,133.87,132.589,132.712,NaN,133.87,132.589,132.712,69740.4
1763669700,132.712,134.433,132.651,134.377,NaN,134.433,132.651,134.377,155052.1
1763670600,134.377,134.637,133.335,133.701,NaN,134.637,133.335,133.701,99148.8
1763671500,133.701,134.326,133.51,133.639,NaN,134.326,133.51,133.639,25521
1763672400,133.639,134.306,133.575,133.718,NaN,134.306,133.575,133.718,17202
1763673300,133.718,135.228,133.666,133.957,NaN,135.228,133.666,133.957,66973.5
1763674200,133.957,134.517,133.482,134.489,NaN,134.517,133.482,134.489,39548.7
1763675100,134.489,134.828,133.905,134.08,NaN,134.828,133.905,134.08,26313.3
1763676000,134.08,135.576,133.882,135.382,NaN,135.576,133.882,135.382,39776.5
1763676900,135.382,136.081,135.347,136.015,NaN,136.081,135.347,136.015,36991.1
1763677800,136.015,136.485,135.362,135.998,NaN,136.485,135.362,135.998,40746.7
1763678700,135.998,136.629,135.937,136.388,NaN,136.629,135.937,136.388,22547.2
1763679600,136.388,136.502,134.639,135.069,NaN,136.502,134.639,135.069,63496.7
1763680500,135.069,135.353,134.462,134.665,NaN,135.353,134.462,134.665,39301.7
1763681400,134.665,134.78,133.525,134.134,NaN,134.78,133.525,134.134,70957.7
1763682300,134.134,134.38,133.233,133.555,NaN,134.38,133.233,133.555,39710.7
1763683200,133.555,134.946,133.539,134.946,NaN,134.946,133.539,134.946,59993.4
1763684100,134.946,135.032,134.136,134.395,NaN,135.032,134.136,134.395,20604.7
1763685000,134.395,134.85,133.727,134.265,NaN,134.85,133.727,134.265,17968.8
1763685900,134.265,134.63,133.958,134.164,NaN,134.63,133.958,134.164,10625.4
1763686800,134.164,134.82,134.001,134.253,NaN,134.82,134.001,134.253,17202.2
1763687700,134.253,134.995,133.551,134.764,NaN,134.995,133.551,134.764,34480.4
1763688600,134.764,134.958,133.955,134.552,NaN,134.958,133.955,134.552,24488
1763689500,134.552,134.745,134.041,134.171,NaN,134.745,134.041,134.171,14786.5
1763690400,134.171,134.598,133.243,133.416,NaN,134.598,133.243,133.416,50783.6
1763691300,133.416,134.1,132.501,133.33,NaN,134.1,132.501,133.33,61650.6
1763692200,133.33,133.614,132.067,132.112,NaN,133.614,132.067,132.112,54005
1763693100,132.112,133.043,130.971,131.317,NaN,133.043,130.971,131.317,110630.3
1763694000,131.317,133.42,131.278,132.768,NaN,133.42,131.278,132.768,86540.8
1763694900,132.768,133.08,131.708,133.002,NaN,133.08,131.708,133.002,69275.9
1763695800,133.002,133.57,132.363,133.443,NaN,133.57,132.363,133.443,43196.1
1763696700,133.443,133.513,132.535,132.555,NaN,133.513,132.535,132.555,32169.5
1763697600,132.555,133.021,132.341,132.691,NaN,133.021,132.341,132.691,23901.2
1763698500,132.691,132.691,131.611,131.892,NaN,132.691,131.611,131.892,43516.1
1763699400,131.892,132.16,130.388,131.871,NaN,132.16,130.388,131.871,143338.3
1763700300,131.871,132.721,131.293,132.596,NaN,132.721,131.293,132.596,42978.6
1763701200,132.596,133.041,132.159,132.696,NaN,133.041,132.159,132.696,34310.3
1763702100,132.696,133.056,132.425,132.485,NaN,133.056,132.425,132.485,21880.5
1763703000,132.485,132.925,131.611,131.945,NaN,132.925,131.611,131.945,42723.4
1763703900,131.945,132.119,131.51,132.016,NaN,132.119,131.51,132.016,29290.1
1763704800,132.016,132.322,130.99,131.766,NaN,132.322,130.99,131.766,49511.9
1763705700,131.766,131.854,131.003,131.041,NaN,131.854,131.003,131.041,26951.4
1763706600,131.041,131.272,130.5,131.06,NaN,131.272,130.5,131.06,47088.2
1763707500,131.06,131.476,130.501,130.804,NaN,131.476,130.501,130.804,33379.4
1763708400,130.804,131.357,130.194,130.479,NaN,131.357,130.194,130.479,63077.2
1763709300,130.479,130.533,129.16,129.301,NaN,130.533,129.16,129.301,157973.5
1763710200,129.301,129.438,121.551,127.855,NaN,129.438,121.551,127.855,1740952.8
1763711100,127.855,127.891,126.256,127.448,NaN,127.891,126.256,127.448,301278
1763712000,127.448,129.349,126.771,128.814,NaN,129.349,126.771,128.814,124758.3
1763712900,128.814,129.185,128.04,128.107,NaN,129.185,128.04,128.107,67416.4
1763713800,128.107,128.651,127.228,127.501,NaN,128.651,127.228,127.501,50239.3
1763714700,127.501,128.361,127.405,127.973,NaN,128.361,127.405,127.973,29884.6
1763715600,127.973,128.867,127.973,128.457,NaN,128.867,127.973,128.457,42480.5
1763716500,128.457,128.528,127.216,127.436,NaN,128.528,127.216,127.436,45764.3
1763717400,127.436,127.651,126.114,126.38,NaN,127.651,126.114,126.38,103000.2
1763718300,126.38,126.737,125.351,125.435,NaN,126.737,125.351,125.435,85517.4
1763719200,125.435,126.527,124.9,125.371,NaN,126.527,124.9,125.371,99310.1
1763720100,125.371,126.037,124.771,124.985,NaN,126.037,124.771,124.985,79173.7
1763721000,124.985,126.36,124.985,125.799,NaN,126.36,124.985,125.799,147685.7
1763721900,125.799,125.838,124.728,125.032,NaN,125.838,124.728,125.032,99513.4
1763722800,125.032,126.3,124.731,126.092,NaN,126.3,124.731,126.092,71793.8
1763723700,126.092,126.194,125.393,125.619,NaN,126.194,125.393,125.619,28726.4
1763724600,125.619,126.08,124.58,124.835,NaN,126.08,124.58,124.835,57403.3
1763725500,124.835,124.958,123.681,124.265,NaN,124.958,123.681,124.265,118101.5
1763726400,124.265,124.338,123.508,124.098,NaN,124.338,123.508,124.098,106907.5
1763727300,124.098,124.098,121.551,122.157,NaN,124.098,121.551,122.157,233108.1
1763728200,122.157,126.604,122.157,126.322,NaN,126.604,122.157,126.322,268775.3
1763729100,126.322,127.185,126.075,126.155,NaN,127.185,126.075,126.155,109544.8
1763730000,126.155,127.25,125.471,126.708,NaN,127.25,125.471,126.708,119170.7
1763730900,126.708,127.964,126.23,126.309,NaN,127.964,126.23,126.309,122623.3
1763731800,126.309,127.818,126.309,127.756,NaN,127.818,126.309,127.756,37310.7
1763732700,127.756,128.219,127.013,127.11,NaN,128.219,127.013,127.11,62565.5
1763733600,127.11,127.46,126.528,126.758,NaN,127.46,126.528,126.758,36906.1
1763734500,126.758,126.782,126.1,126.49,NaN,126.782,126.1,126.49,40839.5
1763735400,126.49,129.34,126.334,128.504,NaN,129.34,126.334,128.504,200382.6
1763736300,128.504,129.5,127.604,128.508,NaN,129.5,127.604,128.508,86997.6
1763737200,128.508,128.889,127.119,127.342,NaN,128.889,127.119,127.342,84234.9
1763738100,127.342,127.825,126.501,126.735,NaN,127.825,126.501,126.735,75352.8
1763739000,126.735,127.238,125.016,125.907,NaN,127.238,125.016,125.907,134795.7
1763739900,125.907,126.341,124.699,125.33,NaN,126.341,124.699,125.33,103621.8
1763740800,125.33,125.889,124.211,124.777,NaN,125.889,124.211,124.777,106641.7
1763741700,124.777,125.472,123.5,125.242,NaN,125.472,123.5,125.242,79705.1
1763742600,125.242,126.588,124.543,125.255,NaN,126.588,124.543,125.255,85391.6
1763743500,125.255,128.769,124.777,128.579,NaN,128.769,124.777,128.579,90551.7
1763744400,128.579,130.105,128.283,129.636,NaN,130.105,128.283,129.636,88701.1
1763745300,129.636,130.406,129.246,129.747,NaN,130.406,129.246,129.747,57691.8
1763746200,129.747,130.563,129.454,130.005,NaN,130.563,129.454,130.005,34299.7
1763747100,130.005,130.325,128.921,129.145,NaN,130.325,128.921,129.145,39736.9
1763748000,129.145,129.375,126.816,127.035,NaN,129.375,126.816,127.035,83049.3
1763748900,127.035,128.103,126.457,128.033,NaN,128.103,126.457,128.033,55131.8
1763749800,128.033,129.425,127.847,129.088,NaN,129.425,127.847,129.088,42361.6
1763750700,129.088,130.347,128.823,129.482,NaN,130.347,128.823,129.482,44503
1763751600,129.482,129.79,128.639,128.789,NaN,129.79,128.639,128.789,26016.9
1763752500,128.789,129.826,128.623,129.389,NaN,129.826,128.623,129.389,27267.8
1763753400,129.389,129.649,127.901,128.053,NaN,129.649,127.901,128.053,35331.2
1763754300,128.053,128.132,127.449,128.075,NaN,128.132,127.449,128.075,34350.4
1763755200,128.075,128.338,126.93,127.858,NaN,128.338,126.93,127.858,34019.5
1763756100,127.858,127.888,126.124,126.245,NaN,127.888,126.124,126.245,39867
1763757000,126.245,126.967,125.877,126.901,NaN,126.967,125.877,126.901,29442.6
1763757900,126.901,127.872,126.629,127.096,NaN,127.872,126.629,127.096,98007.3
1763758800,127.096,127.589,126.574,127.311,NaN,127.589,126.574,127.311,23988.6
1763759700,127.311,128.748,126.889,128.567,NaN,128.748,126.889,128.567,41977.2
1763760600,128.567,129.231,128.261,128.949,NaN,129.231,128.261,128.949,36125
1763761500,128.949,129.135,128.583,128.771,NaN,129.135,128.583,128.771,21321.9
1763762400,128.771,129.281,128.726,128.934,NaN,129.281,128.726,128.934,17286.8
1763763300,128.934,129.063,127.592,127.781,NaN,129.063,127.592,127.781,30185.4
1763764200,127.781,127.853,126.703,127.116,NaN,127.853,126.703,127.116,35176.4
1763765100,127.116,127.598,125.344,125.399,NaN,127.598,125.344,125.399,65083.5
1763766000,125.399,126.13,125.001,126.074,NaN,126.13,125.001,126.074,54569.9
1763766900,126.074,128.332,126.074,128.289,NaN,128.332,126.074,128.289,53635
1763767800,128.289,128.777,127.984,128.534,NaN,128.777,127.984,128.534,38335.5
1763768700,128.534,128.794,128.267,128.573,NaN,128.794,128.267,128.573,23759.8
1763769600,128.573,129.36,128.373,129.265,NaN,129.36,128.373,129.265,45876.8
1763770500,129.265,129.265,127.897,128.007,NaN,129.265,127.897,128.007,25487.5
1763771400,128.007,129.04,128.007,128.615,NaN,129.04,128.007,128.615,18068.3
1763772300,128.615,128.842,128.2,128.389,NaN,128.842,128.2,128.389,17181
1763773200,128.389,129.067,128.298,128.984,NaN,129.067,128.298,128.984,14320.7
1763774100,128.984,129.285,128.766,129.213,NaN,129.285,128.766,129.213,12798
1763775000,129.213,129.864,129.108,129.195,NaN,129.864,129.108,129.195,32159.8
1763775900,129.195,129.741,129.17,129.405,NaN,129.741,129.17,129.405,9925.4
1763776800,129.405,129.553,128.312,128.548,NaN,129.553,128.312,128.548,24267.7
1763777700,128.548,128.732,128.238,128.612,NaN,128.732,128.238,128.612,15142.2
1763778600,128.612,128.684,127.343,127.449,NaN,128.684,127.343,127.449,31574.5
1763779500,127.449,128.008,127.189,127.956,NaN,128.008,127.189,127.956,19784
1763780400,127.956,128.361,127.65,128.162,NaN,128.361,127.65,128.162,20321.5
1763781300,128.162,128.172,127.335,127.444,NaN,128.172,127.335,127.444,12408
1763782200,127.444,127.686,126.996,127.175,NaN,127.686,126.996,127.175,19309.6
1763783100,127.175,127.308,126.768,127.07,NaN,127.308,126.768,127.07,13698.2
1763784000,127.07,127.35,126.19,126.345,NaN,127.35,126.19,126.345,21249.2
1763784900,126.345,126.683,125.814,126.307,NaN,126.683,125.814,126.307,47770.5
1763785800,126.307,126.583,125.603,126.007,NaN,126.583,125.603,126.007,34029.3
1763786700,126.007,127.204,125.833,126.924,NaN,127.204,125.833,126.924,20745.1
1763787600,126.924,127.242,126.27,126.454,NaN,127.242,126.27,126.454,36218.7
1763788500,126.454,126.454,125.676,126.198,NaN,126.454,125.676,126.198,46269.7
1763789400,126.198,126.307,125.354,125.44,NaN,126.307,125.354,125.44,27298.2
1763790300,125.44,126.348,125.292,126.147,NaN,126.348,125.292,126.147,19843.1
1763791200,126.147,126.385,125.265,126.031,NaN,126.385,125.265,126.031,17951.2
1763792100,126.031,127.233,125.824,126.987,NaN,127.233,125.824,126.987,35577.2
1763793000,126.987,128.058,126.895,127.708,NaN,128.058,126.895,127.708,37756.5
1763793900,127.708,128.244,127.479,127.994,NaN,128.244,127.479,127.994,17581
1763794800,127.994,128.202,127.65,127.801,NaN,128.202,127.65,127.801,27043.6
1763795700,127.801,128.333,127.51,127.634,NaN,128.333,127.51,127.634,26796.6
1763796600,127.634,127.966,127.28,127.797,NaN,127.966,127.28,127.797,15208.8
1763797500,127.797,128.018,127.537,127.65,NaN,128.018,127.537,127.65,7649.4
1763798400,127.65,127.652,126.936,127.215,NaN,127.652,126.936,127.215,18905.3
1763799300,127.215,127.234,126.036,126.224,NaN,127.234,126.036,126.224,37398.9
1763800200,126.224,126.302,125.433,125.679,NaN,126.302,125.433,125.679,54847.8
1763801100,125.679,126.035,125.541,125.866,NaN,126.035,125.541,125.866,31863
1763802000,125.866,126.705,125.823,126.565,NaN,126.705,125.823,126.565,19241.1
1763802900,126.565,126.673,125.586,126.119,NaN,126.673,125.586,126.119,22231.2
1763803800,126.119,127.499,125.911,126.708,NaN,127.499,125.911,126.708,45832
1763804700,126.708,127.042,126.261,126.394,NaN,127.042,126.261,126.394,16452.2
1763805600,126.394,127.121,126.384,127.013,NaN,127.121,126.384,127.013,18911.3
1763806500,127.013,127.039,125.46,125.81,NaN,127.039,125.46,125.81,31834.6
1763807400,125.81,126.241,125.78,126.021,NaN,126.241,125.78,126.021,21969.6
1763808300,126.021,126.26,125.604,125.844,NaN,126.26,125.604,125.844,38566.6
1763809200,125.844,126.492,125.246,126.455,NaN,126.492,125.246,126.455,35312.2
1763810100,126.455,127.424,125.9,127.042,NaN,127.424,125.9,127.042,42800.2
1763811000,127.042,127.109,126.693,126.888,NaN,127.109,126.693,126.888,23506.7
1763811900,126.888,127.035,126.602,126.617,NaN,127.035,126.602,126.617,9106.3
1763812800,126.617,126.654,125.536,125.739,NaN,126.654,125.536,125.739,31642.1
1763813700,125.739,126.019,125.524,125.772,NaN,126.019,125.524,125.772,24486.5
1763814600,125.772,125.986,125.437,125.488,NaN,125.986,125.437,125.488,19770.5
1763815500,125.488,125.863,125.152,125.773,NaN,125.863,125.152,125.773,23467.9
1763816400,125.773,126.377,125.032,126.145,NaN,126.377,125.032,126.145,34162.2
1763817300,126.145,126.195,125.419,125.625,NaN,126.195,125.419,125.625,36038.4
1763818200,125.625,125.924,125.168,125.684,NaN,125.924,125.168,125.684,16116
1763819100,125.684,125.999,125.358,125.536,NaN,125.999,125.358,125.536,11315.5
1763820000,125.536,126.618,125.457,126.534,NaN,126.618,125.457,126.534,33927.8
1763820900,126.534,127.439,126.444,126.847,NaN,127.439,126.444,126.847,53905.4
1763821800,126.847,126.999,126.407,126.44,NaN,126.999,126.407,126.44,21178
1763822700,126.44,127.127,126.05,127.048,NaN,127.127,126.05,127.048,29307.2
1763823600,127.048,127.38,126.67,126.922,NaN,127.38,126.67,126.922,30571.9
1763824500,126.922,127.723,126.879,127.237,NaN,127.723,126.879,127.237,23237.9
1763825400,127.237,127.314,126.187,126.325,NaN,127.314,126.187,126.325,53930
1763826300,126.325,127.266,126.06,127.074,NaN,127.266,126.06,127.074,25237.5
1763827200,127.074,127.95,126.787,127.929,NaN,127.95,126.787,127.929,25735.8
1763828100,127.929,128.121,127.46,127.619,NaN,128.121,127.46,127.619,25741.2
1763829000,127.619,128.417,127.427,128.389,NaN,128.417,127.427,128.389,28215
1763829900,128.389,128.562,127.99,128.137,NaN,128.562,127.99,128.137,34011.1
1763830800,128.137,128.371,127.539,127.841,NaN,128.371,127.539,127.841,64789.5
1763831700,127.841,128.076,127.357,127.928,NaN,128.076,127.357,127.928,24275.2
1763832600,127.928,127.933,127.325,127.46,NaN,127.933,127.325,127.46,17452
1763833500,127.46,127.638,127.2,127.518,NaN,127.638,127.2,127.518,22806.3
1763834400,127.518,127.908,127.325,127.753,NaN,127.908,127.325,127.753,16767
1763835300,127.753,127.998,127.668,127.878,NaN,127.998,127.668,127.878,5053.4
1763836200,127.878,127.892,127.316,127.685,NaN,127.892,127.316,127.685,12078.3
1763837100,127.685,127.941,127.511,127.715,NaN,127.941,127.511,127.715,6536.4
1763838000,127.715,128.037,127.378,127.707,NaN,128.037,127.378,127.707,8967.3
1763838900,127.707,127.84,127.056,127.148,NaN,127.84,127.056,127.148,20166.9
1763839800,127.148,127.28,126.719,126.906,NaN,127.28,126.719,126.906,15755.6
1763840700,126.906,127.479,126.818,127.14,NaN,127.479,126.818,127.14,14332.2
1763841600,127.14,127.457,126.973,127.384,NaN,127.457,126.973,127.384,7719.4
1763842500,127.384,127.578,127.005,127.249,NaN,127.578,127.005,127.249,10892.4
1763843400,127.249,127.249,126.375,126.416,NaN,127.249,126.375,126.416,34741.8
1763844300,126.416,126.658,126.044,126.379,NaN,126.658,126.044,126.379,25679.4
1763845200,126.379,126.792,126.259,126.364,NaN,126.792,126.259,126.364,12588.2
1763846100,126.364,126.616,126.101,126.361,NaN,126.616,126.101,126.361,15840.8
1763847000,126.361,126.462,126.051,126.375,NaN,126.462,126.051,126.375,16252.5
1763847900,126.375,126.617,126.217,126.59,NaN,126.617,126.217,126.59,12390.8
1763848800,126.59,127.02,126.142,126.946,NaN,127.02,126.142,126.946,23136.5
1763849700,126.946,127.332,126.882,127.095,NaN,127.332,126.882,127.095,15225.2
1763850600,127.095,127.53,126.996,127.325,NaN,127.53,126.996,127.325,13330.4
1763851500,127.325,128.856,127.284,128.181,NaN,128.856,127.284,128.181,53392.1
1763852400,128.181,128.418,127.633,127.891,NaN,128.418,127.633,127.891,46004.7
1763853300,127.891,127.952,127.241,127.634,NaN,127.952,127.241,127.634,13595
1763854200,127.634,128.047,127.422,127.596,NaN,128.047,127.422,127.596,8646.3
1763855100,127.596,127.741,127.416,127.512,NaN,127.741,127.416,127.512,13138.5
1763856000,127.512,128.12,127.487,128.061,NaN,128.12,127.487,128.061,18457.9
1763856900,128.061,128.594,127.942,128.275,NaN,128.594,127.942,128.275,16093.7
1763857800,128.275,128.337,127.854,128.011,NaN,128.337,127.854,128.011,11717.7
1763858700,128.011,128.168,127.55,127.944,NaN,128.168,127.55,127.944,16717.8
1763859600,127.944,128.495,127.806,128.403,NaN,128.495,127.806,128.403,15389.7
1763860500,128.403,128.993,128.289,128.704,NaN,128.993,128.289,128.704,24702.8
1763861400,128.704,129.473,128.595,129.415,NaN,129.473,128.595,129.415,39106.8
1763862300,129.415,129.805,129.101,129.357,NaN,129.805,129.101,129.357,39719
1763863200,129.357,129.936,129.023,129.435,NaN,129.936,129.023,129.435,32024.3
1763864100,129.435,130.126,129.303,129.83,NaN,130.126,129.303,129.83,26673.1
1763865000,129.83,130.577,129.801,130.372,NaN,130.577,129.801,130.372,39418.1
1763865900,130.372,130.722,129.913,129.983,NaN,130.722,129.913,129.983,33273.6
1763866800,129.983,130.344,129.676,129.743,NaN,130.344,129.676,129.743,22374.9
1763867700,129.743,129.875,129.285,129.457,NaN,129.875,129.285,129.457,18421.9
1763868600,129.457,129.953,129.376,129.763,NaN,129.953,129.376,129.763,9544.6
1763869500,129.763,129.9,129.429,129.9,NaN,129.9,129.429,129.9,10143
1763870400,129.9,130.89,129.877,130.734,NaN,130.89,129.877,130.734,31485.5
1763871300,130.734,131.85,130.608,130.798,NaN,131.85,130.608,130.798,56501.1
1763872200,130.798,131.265,130.507,130.626,NaN,131.265,130.507,130.626,28924.4
1763873100,130.626,130.983,130.548,130.654,NaN,130.983,130.548,130.654,21753.7
1763874000,130.654,130.844,130.409,130.722,NaN,130.844,130.409,130.722,23454.5
1763874900,130.722,130.806,130.381,130.456,NaN,130.806,130.381,130.456,10239.5
1763875800,130.456,130.555,130.119,130.151,NaN,130.555,130.119,130.151,21571.9
1763876700,130.151,130.733,130.147,130.472,NaN,130.733,130.147,130.472,11852.2
1763877600,130.472,130.839,130.257,130.319,NaN,130.839,130.257,130.319,19042.7
1763878500,130.319,130.336,129.588,129.723,NaN,130.336,129.588,129.723,24887.1
1763879400,129.723,129.764,129.28,129.391,NaN,129.764,129.28,129.391,19733.2
1763880300,129.391,129.569,129.064,129.252,NaN,129.569,129.064,129.252,43102.6
1763881200,129.252,129.354,128.675,128.961,NaN,129.354,128.675,128.961,40546.4
1763882100,128.961,129.026,128.016,128.186,NaN,129.026,128.016,128.186,66010.9
1763883000,128.186,128.915,128.064,128.817,NaN,128.915,128.064,128.817,24357.6
1763883900,128.817,129.115,128.623,128.774,NaN,129.115,128.623,128.774,23584.4
1763884800,128.774,129.449,128.774,129.275,NaN,129.449,128.774,129.275,81706.9
1763885700,129.275,129.44,128.99,129.169,NaN,129.44,128.99,129.169,42290.1
1763886600,129.169,129.313,128.755,128.879,NaN,129.313,128.755,128.879,15818.3
1763887500,128.879,129.734,128.879,129.621,NaN,129.734,128.879,129.621,22711
1763888400,129.621,129.8,129.391,129.74,NaN,129.8,129.391,129.74,18760.6
1763889300,129.74,129.801,129.473,129.608,NaN,129.801,129.473,129.608,18897.8
1763890200,129.608,130.882,129.595,130.391,NaN,130.882,129.595,130.391,191851.4
1763891100,130.391,130.428,129.881,130.026,NaN,130.428,129.881,130.026,47658.8
1763892000,130.026,130.148,129.701,129.822,NaN,130.148,129.701,129.822,15610.2
1763892900,129.822,130.065,129.481,129.747,NaN,130.065,129.481,129.747,18124.2
1763893800,129.747,129.845,129.35,129.809,NaN,129.845,129.35,129.809,22056.8
1763894700,129.809,130.078,129.66,129.879,NaN,130.078,129.66,129.879,15717.4
1763895600,129.879,129.884,129.18,129.293,NaN,129.884,129.18,129.293,21995.3
1763896500,129.293,129.354,128.927,129.271,NaN,129.354,128.927,129.255,14656.3